Date,Calories (kcal),Distance (m),Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms),Meditating duration (ms)
2015-06-12,1781.188232421875,276.7403869628906,,,,51.04704666137695,3.726806640625,51.049827575683594,3.7330360412597656,,,,3431,,,,,81608330,525751,,
2015-06-13,2518.472900390625,9625.31640625,,,,51.04426574707031,3.7304203510284424,51.05052185058594,3.7924835681915283,2.7055342197418213,4.5,0.5,10176,,,,1144419,78346357,2440039,2149785,
2015-06-14,2013.2042236328125,4687.6591796875,,,,51.04888153076172,3.732736587524414,51.053306579589844,3.752476692199707,3.1739656925201416,4.4721360206604,0.5,6226,,,,1177298,79760986,1985161,,
2015-06-15,2097.97314453125,2857.263916015625,,,,50.851715087890625,3.5499460697174072,51.04975128173828,3.7338016033172607,2.0154054164886475,5.830951690673828,1.1180340051651,8864,,,,752637,69470814,3957924,,
2015-06-16,2853.78466796875,11236.8818359375,,,,50.846683502197266,3.5675933361053467,51.05052947998047,3.783571720123291,2.1358895301818848,3.25,0.75,13131,,,,3648693,67599550,4064085,1930767,
2015-06-17,2256.519287109375,4652.46435546875,,,,51.03864669799805,3.7253715991973877,51.04974365234375,3.7337398529052734,1.6499266624450684,4.75,0.75,6498,,,,1950419,75241176,2415372,549009,
2015-06-18,2093.879638671875,5316.85302734375,,,,51.043582916259766,3.7304954528808594,51.05029296875,3.752476215362549,3.30283522605896,4.802343368530273,0.5,5517,,,,842230,76072541,1663669,687814,
2015-06-19,2053.920654296875,4452.8251953125,,,,50.851715087890625,3.5786092281341553,51.05043411254883,3.733290433883667,,,,5514,,,,1174522,74029617,2593884,,
2015-06-20,2380.0537109375,8666.1474609375,,,,50.79631423950195,3.262908697128296,51.04959487915039,3.733106851577759,2.5579240322113037,7.766112327575684,0.55901700258255,11583,,,,818996,72702915,5879845,775824,
2015-06-21,1941.7476806640625,2120.202392578125,,,,51.04359817504883,3.726748466491699,51.04964828491211,3.7335379123687744,1.0808796882629395,3.5,0.5,4996,,,,,75788342,817052,621472,
2015-06-22,2259.37255859375,10728.9482421875,,,,51.020652770996094,3.7265255451202393,51.04977035522461,3.74084210395813,3.3998472690582275,8.732124328613281,0.5,4873,,,,2607132,77544586,852569,733815,
2015-06-23,1907.5439453125,2823.372802734375,,,,51.03863525390625,3.725489854812622,51.049644470214844,3.733003616333008,2.711017608642578,7.0,1.25,4870,,,,429484,76585853,1677019,,
2015-06-24,2056.449462890625,3172.345458984375,,,,51.04356384277344,3.7262063026428223,51.04975509643555,3.7336769104003906,1.1630046367645264,3.75,0.5,6596,,,,489175,81058387,363486,1050255,
2015-06-25,2066.595703125,4279.6748046875,,,,50.87198257446289,3.5790278911590576,51.049617767333984,3.7337775230407715,1.0879359245300293,4.366062164306641,0.5,7190,,,,279521,79908749,1122424,926119,
2015-06-26,1888.027099609375,1476.9736328125,,,,50.841270446777344,3.567593574523926,50.88954162597656,3.626898765563965,0.9559095501899719,1.1180340051651,0.75,5245,,,,,80576135,2110759,,
2015-06-27,2356.697509765625,7502.90380859375,,,,50.85205078125,3.568063974380493,50.89712905883789,3.624586582183838,1.0125551223754883,4.609772205352783,0.5,11563,,,,,74155383,4283543,1142753,
2015-06-28,2312.781494140625,5813.740234375,,,,50.86080551147461,3.5675923824310303,51.038143157958984,3.68017578125,3.1760401725769043,15.78171443939209,0.75,12063,,,,,61928174,4563482,1366891,
2015-06-29,2277.70458984375,7822.49462890625,,,,50.86503219604492,3.578608989715576,51.04976272583008,3.740842580795288,3.310652494430542,10.965856552124023,0.5,8966,,,,720375,52836670,3806074,817760,
2015-06-30,2763.32763671875,21580.26171875,,,,51.01963424682617,3.7215335369110107,51.07432174682617,3.7415273189544678,3.415799379348755,13.202746391296387,0.5,8353,,,,5946454,72196143,2106092,911000,
2015-07-01,1837.1844482421875,1064.1983642578125,,,,51.04701232910156,3.7266602516174316,51.0496826171875,3.7336266040802,0.5142407417297363,5.0,0.5,2915,,,,,79955126,495049,240971,
2015-07-02,2044.65234375,3533.49267578125,,,,51.043556213378906,3.7266407012939453,51.04985809326172,3.73368501663208,3.2402405738830566,6.020797252655029,0.5,6265,,,,,83200763,1206465,925349,
2015-07-03,2554.35205078125,16830.1484375,,,,50.806968688964844,3.1963083744049072,51.0496826171875,3.7408194541931152,4.396650791168213,34.753597259521484,0.5,9504,,,,3976499,61915141,3348804,551580,
2015-07-04,2828.6298828125,16492.05078125,,,,50.86508560180664,2.7070469856262207,51.20698165893555,3.7397778034210205,6.4443769454956055,35.264183044433594,0.5,22430,,,,1042295,46281456,13786649,230918,
2015-07-05,1822.451416015625,320.361572265625,,,,50.86070251464844,2.7126550674438477,51.17246627807617,3.6454989910125732,3.5525765419006348,38.0,0.5,3105,,,,,57513224,1137912,,
2015-07-06,2508.66357421875,10814.267578125,,,,50.8671875,3.5786020755767822,51.04970932006836,3.7408287525177,2.558393955230713,23.25,0.5,10157,,,,2571618,71487359,4379885,743077,
2015-07-07,2475.2548828125,13051.732421875,,,,50.869625091552734,3.5788331031799316,51.05018615722656,3.741008996963501,5.5568132400512695,7.25,4.25,8981,,,,2950430,73330709,5853832,,
2015-07-08,2362.66455078125,4956.9453125,,,,50.86191177368164,3.5675809383392334,51.050315856933594,3.740818977355957,8.536640167236328,19.00657844543457,0.5,9467,,,,991258,68319855,4125656,1121750,
2015-07-09,2126.85595703125,4545.6494140625,,,,50.85746765136719,3.5785903930664062,51.04957580566406,3.740827798843384,2.0585222244262695,8.200610160827637,0.5,8200,,,,,69791650,3048399,792630,
2015-07-10,2250.1025390625,5793.08154296875,,,,50.845401763916016,3.5785903930664062,51.0289192199707,3.747462511062622,12.881698608398438,34.25,0.5,10672,,,,,69296843,4737525,742370,
2015-07-11,2249.09375,6509.64794921875,,,,50.86190414428711,2.934365749359131,51.252227783203125,3.7314882278442383,9.039236068725586,31.75,0.5,14537,,,,,54011070,4888350,747070,
2015-07-12,1914.1607666015625,1752.015869140625,,,,50.867191314697266,2.934145927429199,51.252227783203125,3.7376596927642822,4.046279430389404,37.619808197021484,0.7071067690849304,6262,,,,,60135592,2498459,,
2015-07-13,2054.923095703125,3416.5283203125,,,,50.86222839355469,3.5788259506225586,51.050148010253906,3.767244577407837,2.7798726558685303,19.525623321533203,0.55901700258255,7806,,,,,72746375,4158134,187139,
2015-07-14,1875.871337890625,1121.0372314453125,,,,50.871829986572266,3.579047679901123,51.03765869140625,3.748882532119751,0.8311291337013245,3.36340594291687,0.5,4191,,,,,71482411,1930429,,
2015-07-15,1982.043212890625,2156.763671875,,,,50.8607063293457,3.549941301345825,51.02407455444336,3.7408194541931152,14.029558181762695,32.265499114990234,1.0,5608,,,,,77602447,3505539,,
2015-07-16,1963.520263671875,2546.033203125,,,,50.84785842895508,3.56758189201355,51.02403259277344,3.7407479286193848,11.113484382629395,25.5,0.5,5431,,,,,73160904,3079129,61195,
2015-07-17,2307.599365234375,1996.6524658203125,,,,50.864933013916016,3.5786526203155518,51.050777435302734,3.748889207839966,6.378819942474365,32.253875732421875,0.5,4929,,,,3391709,61040077,2623423,,
2015-07-18,2196.358154296875,8074.51171875,,,,50.81621170043945,3.1280782222747803,51.082393646240234,3.7447404861450195,5.948509693145752,35.920921325683594,0.5,11405,,,,928579,52143220,5121212,,
2015-07-19,2400.75830078125,10707.1259765625,,,,50.45744323730469,3.7172226905822754,51.05851364135742,3.940568685531616,3.0876758098602295,9.410764694213867,0.5,16486,,,,626081,64048243,8663038,,
2015-07-20,2339.89697265625,10871.99609375,,,,50.86491775512695,3.579155921936035,51.05593490600586,3.748924732208252,1.6256048679351807,2.0,1.25,10025,,,,2265947,57839510,4816018,76604,
2015-07-21,2092.4931640625,4858.89697265625,,,,51.04356002807617,3.720137119293213,51.05511474609375,3.733555793762207,2.8840155601501465,21.0,0.5,8531,,,,358263,78029939,2014362,830850,
2015-07-22,2442.575439453125,12366.509765625,,,,51.02298355102539,3.7201828956604004,51.05678939819336,3.733635902404785,1.317747712135315,12.083045959472656,0.5,13457,,,,1775196,62280466,5381004,612726,
2015-07-23,2358.975341796875,8435.3291015625,,,,51.046104431152344,3.719745397567749,51.058292388916016,3.733444929122925,1.4127646684646606,5.0,0.5,14464,,,,681600,66598624,6055000,606965,
2015-07-24,2240.456298828125,6995.791015625,,,,50.86713790893555,3.5786430835723877,51.049903869628906,3.740356683731079,4.012760639190674,7.017834186553955,0.5,6797,,,,1882101,71965355,4169623,,
2015-07-25,3112.4150390625,18988.060546875,,,,50.80303955078125,3.165315866470337,51.05669403076172,3.736132860183716,3.050520658493042,16.0,0.5,19693,,,,4517055,54455640,12668131,,
2015-07-26,2027.8514404296875,2054.931640625,,,,51.04365921020508,3.7219338417053223,51.05101013183594,3.73454213142395,1.2561681270599365,6.4031243324279785,0.5,3664,,,,927055,83243743,453636,548293,
2015-07-27,2147.128173828125,1985.28173828125,,,,51.03961944580078,3.700347661972046,51.05593490600586,3.733792781829834,1.1459096670150757,9.219544410705566,0.5,4771,,,,2027043,77277863,445805,527114,
2015-07-28,1943.2828369140625,2528.177001953125,,,,51.03708267211914,3.6999781131744385,51.05631637573242,3.733560562133789,1.732919454574585,8.835298538208008,0.5,4357,,,,,73606101,907562,586222,
2015-07-29,1903.857177734375,757.1760864257812,,,,51.047237396240234,3.7003660202026367,51.050537109375,3.733177423477173,1.820027470588684,1.820027470588684,1.820027470588684,3668,,,,780381,79088581,1031382,,
2015-07-30,2413.45068359375,8395.2216796875,,,,51.04358673095703,3.721231698989868,51.052249908447266,3.7336208820343018,1.8865594863891602,5.147815227508545,0.75,12726,,,,442125,72545976,7214081,586595,
2015-07-31,2186.18603515625,9332.45703125,,,,51.046016693115234,3.7209360599517822,51.07427978515625,3.742621421813965,1.5962151288986206,12.971121788024902,0.5,8987,,,,1894249,74014566,3344036,,
2015-08-01,2497.793701171875,9984.8740234375,,,,51.008243560791016,3.6353657245635986,51.05710983276367,3.734771728515625,0.8740594387054443,4.25,0.5,16375,,,,696688,71707520,7935901,616308,
2015-08-02,1916.802978515625,2434.519775390625,,,,51.036964416503906,3.726433038711548,51.049896240234375,3.7342286109924316,1.1570723056793213,2.5,0.55901700258255,3879,,,,641180,80047892,1457863,,
2015-08-03,2236.611083984375,8742.5791015625,,,,51.02231216430664,3.7003824710845947,51.051902770996094,3.7336723804473877,3.2904233932495117,5.153882026672363,0.5,8285,,,,2283212,75740593,3437068,,
2015-08-04,2361.604736328125,5624.13916015625,,,,50.84782409667969,3.5791432857513428,51.051815032958984,3.737213134765625,1.789603590965271,4.069705009460449,0.5,9062,,,,2373223,69596881,2993711,652408,
2015-08-05,2075.798095703125,2941.25146484375,,,,50.847862243652344,3.578620195388794,50.893802642822266,3.62722110748291,1.6370311975479126,3.25,0.75,7182,,,,,71169620,4487997,180283,
2015-08-06,2224.05126953125,5113.65576171875,,,,50.867027282714844,3.577244758605957,50.874996185302734,3.6124722957611084,1.7216370105743408,4.25,0.5,9969,,,,,74131327,3508453,1616580,
2015-08-07,2105.203857421875,4081.638916015625,,,,50.847862243652344,3.5779547691345215,50.87675476074219,3.621584415435791,1.7218247652053833,3.75,0.5,9262,,,,,68667965,3751372,1711000,
2015-08-08,2286.9716796875,6516.34423828125,,,,50.861751556396484,3.5682919025421143,50.87754440307617,3.621584415435791,2.2424283027648926,4.190763473510742,0.5,12516,,,,,72096471,5426829,776571,
2015-08-09,2162.93603515625,4590.66357421875,,,,50.85789489746094,3.5778117179870605,50.87493896484375,3.615893602371216,1.119455099105835,3.0,0.5,8541,,,,,79892687,3496493,878253,
2015-08-10,2239.545166015625,5729.05419921875,,,,50.84315872192383,3.5786197185516357,50.87263488769531,3.6102054119110107,1.3090550899505615,2.3048861026763916,1.1180340051651,11495,,,,,64789938,7325727,,
2015-08-11,2008.9630126953125,2774.50830078125,,,,50.869384765625,3.578620672225952,51.04958724975586,3.748910427093506,14.265632629394531,33.0,1.0,7495,,,,,70163370,3904906,,
2015-08-12,2040.6405029296875,2933.450439453125,,,,50.847862243652344,3.5740175247192383,50.893775939941406,3.627171754837036,1.5183333158493042,4.949747562408447,0.5,7288,,,,,70167166,4374856,,
2015-08-13,1854.655517578125,851.4068603515625,,,,50.860008239746094,3.5675694942474365,50.872066497802734,3.6215927600860596,0.5,0.5,0.5,3126,,,,,80444802,1615675,,
2015-08-14,2066.4853515625,2980.49853515625,,,,50.847862243652344,3.578620672225952,50.88950729370117,3.6276605129241943,,,,8731,,,,,69347539,4758285,,
