Start time,End time,Calories (kcal),Distance (m),Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Inactive duration (ms),Walking duration (ms)
16:15:00.000Z,16:30:00.000Z,18.18489646911621,,,,,51.03750228881836,3.7482028007507324,51.03751754760742,3.74837327003479,,,,33,,,,,900000,
16:30:00.000Z,16:45:00.000Z,18.18489646911621,,,,,51.03750228881836,3.748199224472046,51.03750228881836,3.748199224472046,,,,126,,,,,642704,
16:45:00.000Z,17:00:00.000Z,43.38747024536133,343.9524230957031,,,,51.037437438964844,3.748394012451172,51.037498474121094,3.7488648891448975,,,,613,,,,,341883,373894
17:00:00.000Z,17:15:00.000Z,18.184894561767578,,,,,,,,,,,,,,,,,,
17:15:00.000Z,17:30:00.000Z,18.184894561767578,,,,,51.048065185546875,3.723017454147339,51.04808807373047,3.7232701778411865,,,,,,,,,461316,
17:30:00.000Z,17:45:00.000Z,18.184894561767578,,,,,51.04810333251953,3.72299861907959,51.04811096191406,3.7231268882751465,,,,60,,,,,900000,
17:45:00.000Z,18:00:00.000Z,18.184894561767578,,,,,51.04807662963867,3.723022699356079,51.04808807373047,3.7231030464172363,,,,30,,,,,900000,
18:00:00.000Z,18:15:00.000Z,18.184894561767578,,,,,51.047977447509766,3.7229645252227783,51.04808807373047,3.7230756282806396,1.5405694246292114,1.5811388492584229,1.5,7,,,,,900000,
18:15:00.000Z,18:30:00.000Z,18.184894561767578,,,,,51.04808044433594,3.7228171825408936,51.04814147949219,3.723174571990967,,,,2,,,,,900000,
18:30:00.000Z,18:45:00.000Z,18.184894561767578,,,,,51.04803466796875,3.722919225692749,51.04811096191406,3.723010301589966,,,,57,,,,,900000,
18:45:00.000Z,19:00:00.000Z,18.184894561767578,,,,,51.04808044433594,3.7228786945343018,51.04811096191406,3.7232704162597656,,,,133,,,,,285766,
19:00:00.000Z,19:15:00.000Z,18.184894561767578,,,,,51.04808807373047,3.722775459289551,51.04818344116211,3.7232701778411865,,,,281,,,,,,
19:15:00.000Z,19:30:00.000Z,18.184894561767578,,,,,51.048072814941406,3.7229301929473877,51.04810333251953,3.7232701778411865,,,,,,,,,,
19:30:00.000Z,19:45:00.000Z,69.16731262207031,613.2023315429688,,,,51.0477180480957,3.721482992172241,51.04829025268555,3.724393367767334,1.2800055742263794,7.040063858032227,0.5,1018,,,,,,756352
19:45:00.000Z,20:00:00.000Z,24.617891311645508,115.46444702148438,,,,51.048072814941406,3.7229416370391846,51.048126220703125,3.7231643199920654,,,,254,,,,,593258,95437
20:00:00.000Z,20:15:00.000Z,18.18489646911621,,,,,51.04806900024414,3.722990036010742,51.04810333251953,3.7232697010040283,,,,,,,,,900000,
20:15:00.000Z,20:30:00.000Z,18.18489646911621,,,,,51.048095703125,3.7229127883911133,51.04811096191406,3.723045825958252,,,,,,,,,900000,
20:30:00.000Z,20:45:00.000Z,18.18489646911621,,,,,51.04808807373047,3.7230114936828613,51.0481071472168,3.7232701778411865,,,,,,,,,900000,
20:45:00.000Z,21:00:00.000Z,18.18489646911621,,,,,51.04796600341797,3.722726345062256,51.048099517822266,3.723081111907959,0.7006939053535461,0.9013878107070923,0.5,11,,,,,900000,
21:00:00.000Z,21:15:00.000Z,18.18489646911621,,,,,51.048065185546875,3.7230048179626465,51.04810333251953,3.723187208175659,,,,46,,,,,900000,
21:15:00.000Z,21:30:00.000Z,18.18489646911621,,,,,51.048065185546875,3.7229325771331787,51.0481071472168,3.7232701778411865,,,,29,,,,,900000,
21:30:00.000Z,21:45:00.000Z,18.18489646911621,,,,,51.0480842590332,3.7229790687561035,51.04810333251953,3.7231247425079346,,,,,,,,,900000,
21:45:00.000Z,22:00:00.000Z,18.18489646911621,,,,,51.048091888427734,3.7228949069976807,51.048091888427734,3.7228949069976807,,,,,,,,,900000,
22:00:00.000Z,22:15:00.000Z,18.18489646911621,,,,,51.04808807373047,3.7229771614074707,51.04808807373047,3.7229771614074707,,,,,,,,,900000,
22:15:00.000Z,22:30:00.000Z,18.18489646911621,,,,,,,,,,,,,,,,,900000,
22:30:00.000Z,22:45:00.000Z,18.18489646911621,,,,,,,,,,,,,,,,,900000,
22:45:00.000Z,23:00:00.000Z,18.18489646911621,,,,,,,,,,,,,,,,,900000,
23:00:00.000Z,23:15:00.000Z,18.18489646911621,,,,,51.0479850769043,3.723064422607422,51.0480842590332,3.723109483718872,0.7071067690849304,0.7071067690849304,0.7071067690849304,,,,,,900000,
23:15:00.000Z,23:30:00.000Z,18.18489646911621,,,,,51.04811477661133,3.7229461669921875,51.04811477661133,3.7229461669921875,,,,,,,,,900000,
23:30:00.000Z,23:45:00.000Z,18.18489646911621,,,,,51.04808807373047,3.7230238914489746,51.04808807373047,3.7230238914489746,,,,,,,,,900000,
23:45:00.000Z,00:00:00.000Z,18.18489646911621,,,,,51.0480842590332,3.722925901412964,51.048091888427734,3.7230401039123535,,,,,,,,,900000,
