Start time,End time,Calories (kcal),Distance (m),Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Height (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg)
17:00:00.000+01:00,17:15:00.000+01:00,,1257.6746826171875,,,,,51.0316162109375,3.7227730751037598,51.0316162109375,3.7227730751037598,,,,963,,,
17:15:00.000+01:00,17:30:00.000+01:00,,1272.092041015625,,,,,51.02848434448242,3.713832378387451,51.03135299682617,3.7155027389526367,,,,520,,,
17:30:00.000+01:00,17:45:00.000+01:00,,1389.7454833984375,,,,,51.02464294433594,3.7155027389526367,51.02848434448242,3.7226357460021973,,,,84,,,
17:45:00.000+01:00,18:00:00.000+01:00,,1877.406982421875,,,,,51.022586822509766,3.711486577987671,51.0339469909668,3.712224006652832,,,,,,,
18:00:00.000+01:00,18:15:00.000+01:00,,1282.387939453125,,,,,51.028621673583984,3.7154407501220703,51.02875900268555,3.7154717445373535,,,,,,,
18:15:00.000+01:00,18:30:00.000+01:00,,574.52685546875,,,,,51.02848434448242,3.7155027389526367,51.02848434448242,3.7155027389526367,,,,,,,
18:30:00.000+01:00,18:45:00.000+01:00,,938.4662475585938,,,,,51.02875900268555,3.712035655975342,51.03351593017578,3.7154407501220703,,,,2,,,
18:45:00.000+01:00,19:00:00.000+01:00,,1451.736083984375,,,,,51.02685546875,3.712648391723633,51.02980041503906,3.7166268825531006,12.0,12.0,12.0,458,,,
19:00:00.000+01:00,19:15:00.000+01:00,,3032.596435546875,,,,,51.0266227722168,3.7102737426757812,51.04378128051758,3.726198673248291,,,,925,,,
19:15:00.000+01:00,19:30:00.000+01:00,,874.9786376953125,,,,,51.0457649230957,3.7280797958374023,51.049556732177734,3.732778787612915,,,,592,,,
19:30:00.000+01:00,19:45:00.000+01:00,,54.691200256347656,,,,,51.045753479003906,3.72796893119812,51.045902252197266,3.728217601776123,,,,35,,,
